method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_pdqn,HAN+PDQN,1,88.20481116439909,2.1359333411737462,8525.902355844806,0.8457142857142858,0.15428571428571428,0.0008156606851549756,0.8333333333333333,0.9558333333333333,0.9316888045540797,0.9314678681527152,0.06829499644296894,0.9997628645956841,0.9997628645956841,0.00023713540431586437,0.24752542194346,0.20615404199074314,0.06829499644296894,4216.0,3928.0,288.0,529.8737288017038,496.86146466232844,1091.9999999999259,-14.999999999999986,143.55623435243714,-0.039674741151899645,0.19999999999999998,-18.5955297873368,0.0,-3.0,-3.0,-111.5999999999993,-62.160000000001595,
han_pdqn,HAN+PDQN,2,87.22909206972058,2.240331265767402,8935.27445229628,0.8489411764705882,0.15105882352941177,0.00047036688617121356,0.8554999999999999,0.96175,0.9193625118934349,0.9193625118934349,0.08063748810656518,1.0,1.0,0.0,0.24272661169985796,0.24826879886180445,0.08063748810656518,4204.0,3865.0,339.0,512.8479125549211,487.42088321555667,1057.799999999931,-13.005000000000006,124.48770661205774,-0.21018607235585582,0.11666666666666665,-23.161141582435658,0.0,-3.0,-3.0,-94.49999999999946,-54.12000000000129,
han_pdqn,HAN+PDQN,3,89.76706377528302,2.1403947192150263,8609.592343342603,0.8240512567767373,0.1759487432232627,0.0,0.8611333333333332,0.9625833333333333,0.9319533666428741,0.9319533666428741,0.06804663335712587,1.0,1.0,0.0,0.2555526234386874,0.2694711335190581,0.06804663335712587,4203.0,3917.0,286.0,528.0281607253964,495.6061148498613,1089.2999999999263,-12.498000000000001,111.96280724287902,-0.013671390821532403,0.18333333333333332,-19.705469254987253,0.0,-2.0,-2.0,-105.89999999999935,-50.16000000000114,
han_pdqn,HAN+PDQN,4,89.062095334173,2.1514221970561334,8523.502576734887,0.8353690918746681,0.1646309081253319,0.0005307855626326964,0.8709333333333334,0.9650833333333333,0.9293662312530238,0.9293662312530238,0.0706337687469763,1.0,1.0,0.0,0.25684150807490685,0.25727864607370327,0.0706337687469763,4134.0,3842.0,292.0,519.3639806391283,486.24746134897464,1064.99999999993,-11.615999999999984,105.73108040911113,-0.19699215259769098,0.16666666666666666,-19.63744041427113,0.0,-1.0,-2.0,-92.39999999999948,-47.19000000000103,
han_pdqn,HAN+PDQN,5,83.14858819423634,2.1829270781205197,8497.03975264555,0.8570397111913357,0.14296028880866427,0.0007215007215007215,0.8070000000000002,0.9455,0.9155998103366524,0.9155998103366524,0.08440018966334756,1.0,1.0,0.0,0.2321413682458549,0.2341357107164102,0.08440018966334756,4218.0,3862.0,356.0,520.7396211202317,491.74440371031636,1051.799999999932,-17.37000000000002,166.18026112335605,-0.1618378232009991,0.26666666666666666,-25.37735091264302,0.0,-4.5,-3.0,-116.09999999999926,-71.22000000000193,
full_local,Full-Local,1,81.45779156253275,2.2929729056178316,7835.00187846231,0.75,0.25,0.0,0.8978833333333334,0.9000833333333333,0.8587369420702754,0.8577187574104814,0.14109556556793929,0.9988143229784207,0.9988143229784207,0.0011856770215793219,0.2338711550442456,0.5689875432588295,0.14109556556793929,4212.0,3617.0,595.0,498.4538444995137,453.9749718230658,906.5999999999539,-9.190500000000034,2.139210606854819,-0.046242656552254076,0.0,-41.81013482903036,0.0,0.0,-3.0,-3.2999999999999994,-0.9900000000000007,
full_local,Full-Local,2,89.52556515739872,2.3056677169246576,8574.110078800479,0.8222222222222222,0.17777777777777778,0.0,0.9389166666666666,0.9411666666666667,0.8852654129969055,0.8846336822074216,0.11465271170313987,0.9992863939105614,0.9992863939105614,0.0007136060894386299,0.2512646095270508,0.6310524547262139,0.11465271170313987,4201.0,3719.0,482.0,501.1953678560425,464.48834881799365,971.0999999999441,-5.497499999999993,2.387514103351677,-0.001897489765136831,0.0,-33.115162309979276,0.0,0.0,-3.0,-2.4,-1.1100000000000008,
full_local,Full-Local,3,88.37021907866617,2.241459400111028,8091.888021066202,0.75,0.25,0.0,0.9292166666666666,0.9314166666666667,0.8806858775899024,0.8798477278134665,0.1192005710206995,0.9990482988341661,0.9990482988341661,0.0009517011658339282,0.25222255530489324,0.6112993545412259,0.1192005710206995,4199.0,3698.0,501.0,508.65324434160124,465.5716796840081,959.0999999999459,-6.370499999999968,2.1273502771384374,-0.04717805285529743,0.0,-34.30071467656563,0.0,0.0,-2.0,-3.2999999999999994,-0.9900000000000007,
full_local,Full-Local,4,84.18406177391304,2.2811410302671002,7949.393596033395,0.875,0.125,0.0,0.92175,0.92375,0.8700072621641249,0.8693759071117562,0.12989840348330914,0.9992743105950653,0.9992743105950653,0.000725689404934688,0.2442282227396449,0.5108997386056209,0.12989840348330914,4131.0,3594.0,537.0,494.10983574245563,452.8590960594977,917.0999999999523,-7.042499999999992,2.259038601784549,0.04906995781995783,0.0,-36.90468737914475,0.0,0.0,-3.0,-1.5,-1.0500000000000007,
full_local,Full-Local,5,77.8402830763294,2.3467143292145485,7821.747611968504,0.8780487804878049,0.12195121951219512,0.0,0.8907833333333334,0.8928333333333334,0.8434535104364327,0.8430535798956852,0.15647226173541964,0.9995258416311048,0.9995258416311048,0.000474158368895211,0.22439264430864275,0.585775161929574,0.15647226173541964,4216.0,3556.0,660.0,490.1846057051456,447.1237858204727,868.7999999999596,-9.829499999999998,2.2796689597277164,0.01751623376623377,0.0,-53.1816569581386,0.0,0.0,-2.0,-1.5,-1.0800000000000007,
random,Random,1,22.91359555046362,2.5551445200905607,8366.82386314151,0.8117044825677919,0.18829551743220807,0.0009675190048375951,0.44251666666666656,0.8039166666666666,0.8302872062663186,0.8294996442968935,0.16955181408584302,0.9990514583827366,0.9990514583827366,0.0009485416172634575,0.10324964724249706,0.27951152436612153,0.16955181408584302,4213.0,3498.0,715.0,433.1335990117394,471.9476420528778,834.8999999999647,-50.17350000000033,369.8026528730212,-0.8383597231079668,0.0,-55.33922706396985,0.0,-11.0,-2.0,-401.7000000000095,-176.0100000000059,0.0
random,Random,2,23.37526461492868,2.6124585872202553,8757.713607737816,0.8138129496402877,0.18618705035971223,0.0011497556769186547,0.4631666666666666,0.8106666666666666,0.8201952845915694,0.8192197906755471,0.1795908658420552,0.9988106565176023,0.9988106565176023,0.0011893434823977164,0.1050351970973122,0.30462555620196946,0.1795908658420552,4199.0,3444.0,755.0,430.9059100115707,462.334295883933,806.699999999969,-48.31500000000026,358.7686394447267,-1.0486128166138786,0.0,-59.497273762055265,0.0,-9.5,-2.0,-382.50000000000875,-169.68000000000566,0.0
random,Random,3,23.070673808211023,2.533780640819844,8447.344910802505,0.8048850574712644,0.19511494252873562,0.0010047366154729439,0.45874999999999955,0.80675,0.8249583234103358,0.8241732096121818,0.1748750892219843,0.9990482988341661,0.9990482988341661,0.0009517011658339282,0.10699290599483008,0.2978605520455868,0.1748750892219843,4199.0,3464.0,735.0,433.34536752753013,468.0398263379628,818.6999999999672,-48.71250000000029,352.97866323546623,-1.130853211596881,0.0,-54.70952772513964,0.0,-9.0,-1.0,-402.0000000000095,-168.0600000000056,0.0
random,Random,4,19.960244156384892,2.572365613211303,8324.152885723048,0.8058294042006001,0.1941705957993999,0.0011417154274297131,0.45555000000000023,0.8055,0.8163314756481705,0.8149492017416545,0.1833575229801645,0.998306724721819,0.998306724721819,0.0016932752781809385,0.10392276408675971,0.28842017526415004,0.1833575229801645,4127.0,3369.0,758.0,420.9256237722064,459.3877067141529,783.2999999999726,-49.00050000000039,354.22579894071214,-0.7074235194208985,0.0,-54.01682277995314,0.0,-10.0,-1.0,-401.7000000000095,-169.20000000000564,0.0
